,,group,group_method,group_gamification,project,lines,ncloc,comment_lines,classes,complexity,violations,blocker_violations,major_violations,minor_violations,info_violations,vulnerabilities,bugs,code_smells,duplicated_blocks,duplicated_lines,duplicated_lines_density,sqale_rating,sqale_index,sqale_debt_ratio,effort_to_reach_maintainability_rating_a,tests,test_success_density,coverage,line_coverage,branch_coverage,overall_branch_coverage,conditions_to_cover,overall_conditions_to_cover,comment_density,smells_density,code_to_test
16,16,2015-2016,core,null,2015-2016-tds-e10:p3,487,293,100,3,46,35,0,16,13,0,2,0,33,0,0,0,1,252,2.9,0,92,100,97.4,100,92.5,92.5,40,40,0.254452926208651,0.112627986348123,0.313993174061433
17,17,2015-2016,core,null,2015-2016-tds-e11:p3,576,374,98,3,105,60,2,17,30,0,0,2,58,0,0,0,1,375,3.3,0,182,100,100,100,100,100,164,164,0.207627118644068,0.155080213903743,0.486631016042781
18,18,2015-2016,core,null,2015-2016-tds-e12:p3,548,369,68,6,85,60,0,15,30,0,0,0,60,0,0,0,1,334,3,0,96,100,92.8,97.3,88.9,88.9,126,126,0.155606407322654,0.16260162601626,0.260162601626016
19,19,2015-2016,core,null,2015-2016-tds-e13:p3,600,343,120,3,70,44,0,16,18,0,0,0,44,0,0,0,1,315,3.1,0,183,100,100,100,100,100,90,90,0.259179265658747,0.128279883381924,0.533527696793003
20,20,2015-2016,core,null,2015-2016-tds-e2:p3,593,458,47,3,87,23,0,15,5,0,0,0,23,0,0,0,1,158,1.1,0,371,100,100,100,100,100,126,126,0.0930693069306931,0.0502183406113537,0.810043668122271
21,21,2015-2016,core,null,2015-2016-tds-e4:p3,987,477,311,3,125,33,0,18,8,0,0,1,32,0,0,0,2,828,5.8,113,188,14.9,10.7,11.2,10,10,190,190,0.394670050761421,0.0670859538784067,0.394129979035639
22,22,2015-2016,core,null,2015-2016-tds-e5:p3,521,304,89,3,71,61,3,7,50,0,0,3,58,0,0,0,1,174,1.9,0,48,100,100,100,100,100,96,96,0.2264631043257,0.190789473684211,0.157894736842105
23,23,2015-2016,core,null,2015-2016-tds-e6:p3,549,375,82,4,74,31,3,10,7,0,0,3,28,0,0,0,1,248,2.2,0,143,100,99.1,100,97.9,97.9,96,96,0.179431072210066,0.0746666666666667,0.381333333333333
24,24,2015-2016,core,null,2015-2016-tds-e7:p3,604,392,95,3,85,19,2,6,5,0,0,2,17,0,0,0,1,131,1.1,0,172,100,95,98.6,90.2,90.2,102,102,0.195071868583162,0.0433673469387755,0.438775510204082
25,25,2015-2016,core,null,2015-2016-tds-e8:p3,353,295,4,3,46,20,0,13,3,0,0,0,20,0,0,0,1,154,1.7,0,58,100,97.8,100,94.2,94.2,52,52,0.0133779264214047,0.0677966101694915,0.196610169491525
26,26,2015-2016,core,null,2015-2016-tds-e9:p3,906,514,235,3,112,24,0,9,4,1,0,0,24,0,0,0,1,228,1.5,0,286,100,86.6,86.7,86.5,86.5,170,170,0.313751668891856,0.0466926070038911,0.556420233463035
27,27,2016-2017,core,null,2016-2017-tds-e1:p3,802,464,166,5,98,47,0,32,14,0,0,10,37,0,0,0,1,223,1.6,0,114,100,89.1,91.4,86.4,86.4,154,154,0.263492063492063,0.0797413793103448,0.245689655172414
28,28,2016-2017,core,null,2016-2017-tds-e10:p3,803,443,124,4,115,49,4,14,26,0,0,5,44,0,0,0,1,261,2,0,274,100,98.6,100,97,97,164,164,0.218694885361552,0.0993227990970655,0.618510158013544
29,29,2016-2017,core,null,2016-2017-tds-e11:p3,828,476,162,5,91,12,1,5,6,0,0,1,11,0,0,0,1,78,0.5,0,108,100,91.8,95.9,86.4,86.4,132,132,0.253918495297806,0.023109243697479,0.226890756302521
30,30,2016-2017,core,null,2016-2017-tds-e12:p3,585,405,82,3,75,34,0,24,10,0,0,0,34,0,0,0,1,180,1.5,0,94,100,93.6,96.8,88.5,88.5,96,96,0.168377823408624,0.0839506172839506,0.232098765432099
31,31,2016-2017,core,null,2016-2017-tds-e2:p3,584,360,122,3,92,50,0,10,40,0,0,0,50,0,0,0,1,178,1.6,0,139,100,96.7,100,93.4,93.4,136,136,0.253112033195021,0.138888888888889,0.386111111111111
32,32,2016-2017,core,null,2016-2017-tds-e3:p3,515,335,79,3,58,60,0,21,22,15,2,0,58,0,0,0,1,189,1.9,0,82,96.3,98.9,100,97.3,97.3,74,74,0.190821256038647,0.173134328358209,0.244776119402985
33,33,2016-2017,core,null,2016-2017-tds-e4:p3,394,331,7,3,57,27,0,17,9,0,0,1,26,0,0,0,1,145,1.5,0,81,22.2,87.2,92.3,79.4,79.4,68,68,0.0207100591715976,0.0785498489425982,0.244712990936556
